name,image_url,description,cuisine,course,calories & servings,diet,prep_time,cook_time,ingredients,instruction,image_id
Indian Fry Bread,https://media.istockphoto.com/id/691985214/photo/homemade-deep-fried-indian-flatbread.jpg?s=612x612&w=0&k=20&c=ppXX9cvP4SUOSaI4xlSqRuqGzeURvVEzWV2u3ZKpVbQ=,"Fried bread is a slice of bread that has been fried. It is used as a substitute for toast in various dishes or meals. Various oils, butter, lard, bacon drippings, or ghee can be used.",Indian,Appetizer,682 & 4,Veg,45 minutes,20 minutes,"4 cups flour, 2 tbsp. baking powder, 1 tsp. salt, 1/2 cup shortening, 1 cup warm water","Mix flour, baking powder and salt. Slowly add in shortening. Add enough water to make the dough stick together. Knead dough until it is smooth Divide dough into several palm-size balls. Place balls back in glass bowl for 15 minutes. *If using self rising flour omit baking powder and salt. Pat down the flour into palm size flat pancakes, Punch hole in center of dough. Fry in hot cooking oil in a cast iron skillet. Brown each side until they are golden brown. Drain on paper towels.",0
Baked Indian Pudding,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1207175/dscf3709_full.jpg,"Delicious baked pudding with maple syrup. Great for that Thanksgiving or Easter feast. Served warm, but also great cold. Great with ice cream or light cream on top.",Indian,Dessert,581 & 4,Veg,25 minutes,60 minutes,"A½ cup cornmeal, 4 cups hot milk, 2 tablespoons butter, Â¼ cup molasses, 2 eggs â slightly beaten, Â½ tsp. salt, 1/3 cup brown sugar, 1/3 cup granulated sugar, Â¼ cup honey, Â¾ tsp ginger, Dash of ground cloves, Â½ cup cold milk","Preheat Oven 325 degrees: In a double-broiler top, slowly stir cornmeal into hot milk. Cook over boiling water, stirring occasionally for about 20 minutes. Lightly butter a baking dish. In a bowl combine rest of ingredients except cold milk; stir into cornmeal mixture and mix well. Pour into prepared dish; and pour cold milk over the top, without stirring. Bake uncovered for about 50 minutes or until just set. Do Not!! Overbake. Let stand 15 minutes before serving. Serve with vanilla ice-cream or fresh whip cream.",1
Cabbage Pachadi (salad),https://s3.amazonaws.com/grecipes/public/pictures/recipes/37540/cabbage_salad_full.jpg,"Cabbage Pachadi is a South Indian salad made with shredded cabbage mixed with a flavorful coconut and yogurt-based dressing, tempered with mustard seeds, curry leaves, and red chili. It's refreshing, tangy, and provides a burst of flavors in every bite.",Indian,Side Dish,134 & 8,Veg,10 minutes,0 minutes,"1/1 a medium cabbage (inner leaves only) finely shredded* (about 6 cups), 4 medium tomatoes, finely chopped, ½ cup ground, roasted peanuts, 2/3 cup grated fresh coconut, 1 teaspoon salt, 1 teaspoon brown sugar (regular sugar is also ok), 6 teaspoons fresh lemon juice, 2 tablespoons oil, ½ teaspoon mustard seeds, ½ teaspoon cumin seeds, ¼ teaspoon turmeric, ½ teaspoon asafoetida powder, 1 tablespoon hot green chili, seeded and minced, 4 tablespoons coarsely chopped, fresh coriander leaves, you can also use the coleslaw cabbage packet available in the grocery store.","Place the cabbage, tomato, peanut powder, coconut, salt, sugar, and lemon juice in a large bowl. Mix well and set aside. Fry the mustard seeds in oil in a small pan over moderate heat until they crackle. Add the cumin seeds, turmeric, asafetida, and green chili. Fry until the cumin seeds turn a darker shade. Remove from the heat. Add these above prepared spices to the cabbage. Toss the salad thoroughly and make sure that the spices have been properly mixed in. Garnish with the coriander leaves. Chill and serve cold. The longer you keep this salad, the better it tastes. Make this at least 1 hour ahead and chill in the refrigerator. This develops the taste.",2
Shepuchi Bhaji,http://grecipes.s3.amazonaws.com/recipe_picture/1498249/full_uploads_20140617T0730Z_ace0df8560959563e0c5dc2af698b2da_shepuchi_bhaji3.jpg,"Shepuchi Bhaji is a traditional Maharashtrian dish made with fresh green dill leaves sautéed with onions, green chilies, and spices like turmeric and cumin. It's a quick and flavorful vegetarian side dish often served with roti or rice.",Indian,Main Course,31 & 4,Veg,10 minutes,20 minutes,"1 bunch Dill leaves / Shepu leaves, 2 tbsp. Moong dal, 2 green chilies 2, 4-5 garlic cloves, 1 cup Water, Salt to taste, 2 tsp. cooking oil","1.Soak moong daal for 30 minutes. 2.Chop Dill leaves and wash in water. Strain the water and keep it aside. 3.Heat oil in pan. Add garlic and green chilies. 4.After garlic becomes golden brown. Add soaked moong daal. 5.Saute moong dal for 2 minutes(do not let it cook more time, it will change its color) 6.Add Dill or Shepu leaves. Sauté for more 2 minutes and add 1 cup of water. 7.Cover with lid and cook for 6-7 min. 8.Then add salt, mix well and cook till it is done.",3
Beetroot Cutlet,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1229240/beetroot%20cutlet%20-%201_full.jpg,"To make beetroot cutlets, grate boiled beetroot and mix with mashed potatoes, breadcrumbs, and spices. Shape into patties and shallow fry until crispy. Enjoy these delicious and nutritious snacks!",Indian,Appetizer,190 & 4,Veg,20 minutes,15 minutes,"Beetroot - 1 No. (small), Potato - 2 Nos. (medium), Onion - 1 No. (big), Ginger - 1"" Piece, Garlic - 4 pods (medium), Brown Bread - 5 slices, Chopped mint leaves - 1 tsp, Chopped coriander leaves - 2 tsp, Green Chillies - 3 nos. or as per preference, Cinnamon - 1"" stick, Cardamom - 1 No., Cloves - 3 Nos, Bay leaf - 1 No. (small), Coriander Powder - 1 tsp, Cumin Powder - 1/2 tsp, Salt to taste, Oil for sauteing and tempering","Pressure cook Potato and beetroot till 3 whistles Dry roast, cinnamon, cardamom, bay leaf and cloves, powder it & keep ready Finely chop ginger, garlic, onion, green chillies, mint leaves and coriander leaves Sprinkle water over the brown bread, leave it for a minute, then nicely knead it like you do with chapathi dough, keep ready. Heat a tsp of oil in a wok, add chopped onion, fry till it becomes transparent, then add ginger, garlic and saute well for two minutes, cool down and grind it to a paste Peel the potatoes. Dice the beetroot and one & half potato Grate the remaining half of potato and few diced cubes of beetroot To that add salt, mix well Heat 3 tsp oil, add the ground paste, powdered masala, Coriander powder and Cumin Powder and fry for a minute Add the potato beetroot mixture and fry for a minute Add chopped mint leaves and coriander leaves, mix well Keep it covered and cook for 5 minutes (by removing and stirring it occasionally to prevent burning) Allow the mixture to cool Make equal sized balls now take a portion of the bread dough, like paratha stuffing, make a bowl shape, place a portion of beetroot stuffing, close, roll and slightly flatten Grease a non-stick pan or tava, place the prepared cutlets or tikkis over it, pour a tbsp of oil around it, cook over medium flame. When one side is done, flip it and cook the other side too till the crust turns golden brown in colour.",4
Mattar Samosa,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1137932/dsc04540_full.jpg,"Mattar samosa is a popular Indian snack consisting of crispy pastry filled with a spiced mixture of peas (mattar). The pastry is typically made with flour and filled with a mixture of cooked peas seasoned with spices like cumin, coriander, and garam masala. The filled pastries are then deep-fried until golden brown and served hot, often with chutney or sauce for dipping.",Indian,Appetizer,46 & 4,Veg,20 minutes,25 minutes,"For crust, 2 cup refined flour (maida), 1 tsp. carom seed (ajwain), Salt to taste, 1 tbsp. pure desi ghee, Water for dough, For filling 2 cup boiled peas, Salt to taste, 1 tsp. cooking oil, 1 green chili chopped, 1 tbsp. green coriander chopped, 1 tsp. lemon juice, Â¼ tsp. cumin seeds, Â¼ tsp. red chillies powder, Â½ tsp. coriander powder, A pinch of garam masala, Other ingredients: Oil for deep frying, Tomato ketchup, Green chutney","For crust, In bowl add flour, salt, carom seeds and ghee and mix well with figure tips. Now add enough water slowly for tight dough like for kachori and samosa. Keep covered under a wet cloth for at least half an hour. For filling Heat the pan on medium flame and add cooking oil in it. Add cumin seed when they start crackle, add boil peas. Now add green chillies, coriander, lemon juice and spices. Cook for 5 min. and keep aside for cool. For preparation Divide the dough into small sized balls and roll out one of them. Cut in the centre to get two pieces. Make cones from the pieces using few drops of water to seal the corners. Stuff the masala matter (peas) filling and press the corners to seal the samosa. Repeat for rest of the dough and stuffing. Heat oil and deep fry the samosa on medium flame till golden brown and crisp. Drain the excess oil on a tissue paper and serve hot with green chutney or sauce and tea.",5
GAJAR KA HALWA,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1093441/gajarkahalwa_full.jpg,"Gajar ka Halwa is a popular Indian dessert made from grated carrots, milk, sugar, and ghee. Carrots are cooked in milk until they become soft and absorb the milk's flavor. Sugar is then added to sweeten the mixture, and ghee is used to enhance richness. The dessert is typically flavored with cardamom and garnished with nuts like almonds and cashews. It's a deliciously sweet and aromatic treat enjoyed especially during festivals and celebrations.",Indian,Dessert,239 & 10,Veg,15 minutes,30 minutes,"1/4 c. corn oil, 1 kg. carrots, grated, 1 c. evaporated milk, 6 tbsp. powdered milk, 1 tsp. vanilla essence, 3/4 c. sugar, 5 tbsp. butter, 1 tbsp. raisins, 1 tbsp. chopped cashew nuts","Saute grated carrots in hot oil for 5 minutes. Add milk and vanilla. Simmer until milk is absorbed into the carrots. Stir occasionally. Add sugar, butter and raisins, continue stirring until liquid is absorbed. Garnish with cashew nuts.",6
Tawa Fry Stuffed Vegetables,http://grecipes.s3.amazonaws.com/recipe_picture/1501128/full_uploads_20140710T0641Z_b725a107b1484f4defc76757eeba63e0_IMG_7177.jpg,"Tawa fry stuffed vegetables is a flavorful dish where assorted vegetables are hollowed out, stuffed with a mixture of spices, herbs, and sometimes paneer (Indian cottage cheese), and then shallow-fried on a tawa (griddle) until crispy and golden brown. It's a popular Indian recipe that combines the goodness of vegetables with aromatic spices, resulting in a delicious and satisfying dish perfect for any meal.",Indian,Main Course,213 & 6,Veg,20 minutes,30 minutes,"Mix vegetables: 4 round small brinjals, slit halfway, 2 medium sized bitter gourd (karele), slit in between and cut each into half, 4 - 5 ladyfinger, slit in between and cut into half, 2 - 3 potato, peeled and cut into wedges, 2 tomato, cut from top and remove the pulp, For the tawa masala: 2 tsp coriander seeds, 2 tbsp fennel seeds (saunf), 2 tsp cumin seeds, 2 tsp methi seeds, 2 tsp onion seeds (kalonji), 2 tsp pomegranate seeds (anardana), A pinch of asafoetida, 2 dried red chilli, 1 tsp turmeric powder, 2 tsp mango powder, For stuffing bitter gourd (karela):, 2 onion, finely chopped, 1 tsp ginger garlic paste, salt, as per taste, oil for cooking, 2 tsp tawa masala (mentioned above) For stuffing tomato: 1 small onion, chopped, ¼ Cup grated cottage cheese (paneer), 1 tsp tawa masala (mentioned above), 1 cube processed cheese, grated, salt, as per taste Other ingredients: Salt, as per taste, Oil for pan frying, 2 tbsp mustard oil","To make tawa masala Clean coriander, fennel, methi, cumin and put them on a hot Tawa (flat pan) to roast. Add red chillies to the roasted spices and dry roast for 1 minutes. Allow the spices to cool off then grind them to fine powder along with other spices except turmeric powder. Put turmeric powder to the grounded spices and mix. Salt, as per taste can also be mixed in this masala if you don’t want to add it later. To stuff vegetables Clean, wash and dry all the vegetables. For stuffing ladyfinger and brinjal, slit them halfway and fill in each pieces with spoonful of tawa masala, coat exterior as well with tawa masala and sprinkle 2 tbsp mustard oil so that masala stick nicely to vegetables. Set aside meanwhile you prepare other vegetables. Sprinkle tawa masala over potato wedges along with tbsp of mustard oil and set aside. For preparing bitter gourd: Peel out the skin and remove seeds of bitter gourd, slit in between and cut into half. Rub each piece with generous amount of salt and leave aside for atleast 6 hours. Once all the water has drained out of bitter gourd, rinse it under cold water and dry with a kitchen towel. Set aside. To prepare filling, saute onions in oil until golden, add ginger garlic paste and saute again for 5 minutes. Add tawa masala and mix nicely. Fill in spoonful of filling in each piece and tie it with cotton thread/butcher’s string. For preparing tomatoes: Cut a small disc on top and with the help of desert spoon scoop out pulp and seeds from inside. To prepare filling, saute onion in oil, once translucent add grated paneer and tawa masala. Adjust salt, as per taste. Mix nicely. Fill inside hollow tomatoes, press filling with your fingers and add grated cheese on top. Set aside. In a large heavy bottomed flat pan, heat oil for pan frying vegetables. Once oil is heated, arrange all the vegetables in it. Do not overcrowd the pan if pan is small you can do it in batches. Keep on turning vegetables until golden and crisp on both sides. Keep gas flame to low. Potato, ladyfinger and tomato will take less time whereas brinjal and bitter gourd requires more time to get cooked from deep inside. Once all the vegetables done, serve hot in a platter with lemon wedges along with main dishes.",7
Capsicum Corn Rice,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1409113/befunky_dscn6959edited.jpg_full.jpg,"Capsicum corn rice is a flavorful and colorful dish made by stir-frying cooked rice with diced capsicum (bell peppers) and sweet corn kernels. The dish is seasoned with spices like cumin, turmeric, and chili powder, along with garlic and onions for added flavor. It's a quick and easy recipe that's perfect for a delicious and satisfying meal.",Indian,Main Course,278 & 2,Veg,15 minutes,15 minutes,"Ingredients 2/3 Cup of Cooked Rice, 2 Green Capsicum or Bell Pepper, 1/2 Cup of Corn, Frozen 1 Large Onion, Finely chopped, 2 Medium Size Tomatoes, Finely chopped, 1 Green Chilly , Finely chopped, 1 Tsp of Ginger - Garlic Paste, 1/2 Tsp of Turmeric Powder, 2 Tsp of Sambhar Powder, 1 Tsp of Garam Masala Powder, 2 Tbsp of Chopped Cilantro / Coriander Leaves, 2-3 Tsp of Oil / Ghee, Salt as needed, To Temper, 2-3 Tsp of Oil / Ghee, 1 Tsp of Mustard, 1 Tsp of Urad Dal, Few Sprig of Curry leaves","Wash and soak rice in water for 30 mins. Drain the water completely. In a pressure cooker, cook the rice by adding 2 Cups of water for 3 whistles. Once it done, switch off the stove. Heat a pan with oil, add mustard seeds, urad dal and curry leaves, after they sizzle, add chopped onion, green chilly and salt, fry for 2 mins until it turns golden brown. Add ginger garlic paste, saute this for a min until raw smell vanishes. In a medium flame, add turmeric powder, sambhar powder and garam masala, saute this for another 1 min. Add chopped tomatoes, saute well with masala until oil separates. Add chopped green capsicum and frozen corn, saute well with the masala, just sprinkle little water and cover the pan and cook it for 2-3 mins. Don't overcook the vegetables as it loses the nutrients. Check the salt and switch off the stove. Gently mix the veggie and the boiled rice. You can add some little butter or ghee at this stage, gives a nice flavor. Finally garnish it with chopped cilantro. Hot capsicum corn rice is ready.",8
Pizza on Tawa,https://s3.amazonaws.com/grecipes/public/pictures/recipes/1137942/dsc04499_full.jpg,"Tawa pizza is a quick and easy way to enjoy pizza at home without an oven. It uses a no-yeast dough made with all-purpose flour, baking powder, baking soda, and yogurt or buttermilk. The dough is rolled out thin and cooked on a griddle (tawa) until bubbly. Then it's topped with pizza sauce, cheese, and your favorite toppings, and cooked until the cheese melts.",Indian,Main Course,478 & 2,Veg,25 minutes,20 minutes,"for the Pizza Dough, 2 cup wheat flour, Salt to taste, Water for dough, For the Topping, Pizza topping sauce, 1tbsp. fine chopped carrot, 1tbsp. capsicum , cut into small pieces, 1tbsp., tomatoes cut into dice, 1 tbsp. onion cut into dice, Â½ tbsp. sweet corn, 1/2 cup thickly grated processed or mozrella cheese, Butter for cooking, Salt to taste, chaat masala, chilli flakes, oregano","For the Pizza Dough Combine wheat flour and salt together, now add water in a flour to make dough like a chapatti/Indian flat bread. Take a big portion of dough and roll it as little thick by rolling pin. Keep the heat tawa on high flame. When see just white patches, turn it, see the below pictures. Cook second side little bit more (fully cook). How to prepare topping for Pizza Heat a non-stick kadhai, add butter and cook all veggies mixture on a medium flame for 4-6 minutes with salt. Keep aside to cool. How to cook Pizza on Tawa Apply Â½ tsp. of pizza sauce on the pizza base (cook well side use for topping) and spread it evenly. If pizza sauce not available, spread tomato ketchup on the base. Sprinkle the cook vegetables on top and spread them gently. Sprinkle the grated cheese evenly. Heat the butter on a non-stick tawa and gently place the pizza on it, such that the bottom of the pizza faces tawa. Cover the pizza with a deep vessel or deep plate and cook on a medium flame till the base becomes crisp and the cheese melts. Serve hot with chilli flakes, chaat masala and oregano.",9
